pc1,pc2,classificacao_fuzzy,confianca_classificacao,municipio,uf
-1.4369514924956717,-1.752767104854035,alto,0.7116728318947807,Rio Verde (GO),GO
-1.072162516225557,1.329519097455366,alto,0.7955884367721617,Montes Claros (MG),MG
-0.7059261128061374,-0.8554178350455648,alto,0.8027812029045075,Pelotas (RS),RS
-0.8293396964982558,0.16928831091161628,alto,0.931908480613783,Santa Maria (RS),RS
-0.8290185039382666,-0.8522377934171956,alto,0.993218249075216,Guarapuava (PR),PR
-0.7714407661604568,-0.11823622401799175,alto,0.9872488408037088,Ponta Grossa (PR),PR
-0.8337778200336299,-0.35622600528068776,alto,0.9784168690660188,Dourados (MS),MS
-0.8060653548188389,-0.5802234332216609,alto,0.9425369838816514,Sinop (MT),MT
-0.9429971930307209,-1.2288711610958065,alto,0.921561051004636,Picos (PI),PI
-0.5692439256877035,-0.12152460254726324,alto,0.8660852285272684,Cachoeiro de Itapemirim (ES),ES
-0.7890583685147895,-1.4710178689365145,alto,0.8550452638551548,Caçador (SC),SC
-0.5547417615966306,-0.4796442707135836,alto,0.7187017001545598,Rondonópolis (MT),MT
-0.56172177752818,0.6290452755415444,alto,0.6234820048575844,Vitória da Conquista (BA),BA
-0.52686111294851,1.7193129575694883,alto,0.601126076396555,Juazeiro do Norte (CE),CE
-0.08607675968007315,0.5695045274382498,medio,0.5381154780304707,Barra Mansa (RJ),RJ
-0.4148678321851056,1.331621668790604,medio,0.5393574740560831,Itabuna (BA),BA
-0.21517023640319824,-0.7887653770027329,medio,0.567509383969971,Teófilo Otoni (MG),MG
-0.36064636966463903,1.1013444874776133,medio,0.5992492824022966,Campina Grande (PB),PB
-0.29497683859324436,-1.0171289483317962,medio,0.6274011923161844,Barra do Garças (MT),MT
-0.17951528476407774,-0.7302150321936451,medio,0.7408368293221461,São Luís de Montes Belos (GO),GO
-0.12933870039397366,-0.5500845177468565,medio,0.768988739236034,Gurupi (TO),TO
0.19416482637772095,0.04869786421162918,medio,0.8330205343342905,Campos dos Goytacazes (RJ),RJ
0.20861470776331298,1.7848754637458712,medio,1.0,Sobral (CE),CE
0.42909879245283356,0.24032126588502256,medio,0.946949602122016,Cabo Frio (RJ),RJ
0.13425499815339656,-0.5147357861573656,medio,0.9466843501326264,Macaé (RJ),RJ
0.27662637520489974,-0.33184533777090336,medio,0.8994694960212196,Rio das Ostras (RJ),RJ
