ranking_final,cod_mun,municipio,uf,classificacao_fuzzy,confianca_classificacao,score_final,dinamismo_economico,infraestrutura_urbana,conectividade_digital,oferta_servicos,seguranca_territorial,empresas_1k,regic_var60,via_pav_pct,indice_conectividade,estab_saude_10k,homicidios_100k
11,4113700,Londrina (PR),PR,muito_alto,1.0,0.8079831932773109,0.9201680672268908,0.8739495798319328,0.8235294117647058,0.6386554621848739,0.7226890756302521,85.24457474841041,0.146469795160299,97.99,76.8,34.084879443849886,11.51151601269864
12,3529005,Marília (SP),SP,muito_alto,1.0,0.7991176470588236,0.7533613445378151,0.907563025210084,0.6386554621848739,0.8907563025210085,0.8739495798319328,65.74589587883531,0.059467350627428,98.63,70.34,50.49931194687473,5.891586393802051
13,3509502,Campinas (SP),SP,muito_alto,1.0,0.7926470588235295,0.930672268907563,0.6134453781512605,0.9789915966386554,0.5798319327731093,0.7310924369747899,74.05225596485484,0.404938905355736,92.26,81.19,31.140067091173588,10.622915472320281
14,3506003,Bauru (SP),SP,muito_alto,1.0,0.7892857142857145,0.7899159663865547,0.7689075630252101,0.9789915966386554,0.5378151260504201,0.8907563025210085,60.72858476681806,0.092478808471296,95.78,81.19,29.06532048340217,5.802514071096622
15,3552205,Sorocaba (SP),SP,muito_alto,1.0,0.7884873949579833,0.8453781512605042,0.8403361344537815,0.9411764705882353,0.42857142857142855,0.8991596638655462,62.401717881610985,0.148016303927701,97.38,79.94,24.679348111463323,5.665471850895836
16,4202404,Blumenau (SC),SC,muito_alto,1.0,0.7884453781512607,0.8802521008403361,0.46218487394957986,0.9915966386554622,0.6218487394957983,0.8823529411764706,91.14739758789352,0.087048816960905,89.64,82.38,33.41074735440582,5.812971784942189
17,4310207,Ijuí (RS),RS,muito_alto,1.0,0.783529411764706,0.8008403361344538,0.7142857142857143,0.6638655462184874,0.9243697478991597,0.7899159663865546,76.96390658174097,0.065299949918539,94.29,71.61,54.37603208303845,8.256664307619722
18,3136702,Juiz de Fora (MG),MG,muito_alto,1.0,0.7817226890756304,0.8172268907563025,0.8571428571428571,0.865546218487395,0.6890756302521008,0.6470588235294118,55.0266663707846,0.176821862912984,97.6,77.55,37.687977572139744,13.314692763464484
19,3122306,Divinópolis (MG),MG,muito_alto,1.0,0.7711764705882355,0.7344537815126051,0.6470588235294118,0.9159663865546218,0.8991596638655462,0.6050420168067226,57.93821481580849,0.071656622915852,93.08,79.17,51.79777663344743,14.712818759709378
20,4311403,Lajeado (RS),RS,muito_alto,1.0,0.7666806722689077,0.7306722689075631,0.3445378151260504,0.907563025210084,0.9663865546218487,0.8067226890756303,92.09149349678577,0.0241131071203,83.37,78.91,63.537150545672,7.4749588877261175
21,3148004,Patos de Minas (MG),MG,muito_alto,1.0,0.765840336134454,0.6718487394957984,0.9915966386554622,0.6890756302521008,0.8151260504201681,0.7647058823529411,67.61076396520865,0.028134572825554,99.39,72.05,43.96018463277546,9.420039564166169
22,4104808,Cascavel (PR),PR,muito_alto,1.0,0.7544117647058823,0.9600840336134454,0.8907563025210085,0.7983193277310925,0.48739495798319327,0.5042016806722689,82.24656731341096,0.220114133658122,98.34,76.11,28.58776443682104,17.813481357617132
23,4316808,Santa Cruz do Sul (RS),RS,muito_alto,1.0,0.7518487394957984,0.7008403361344538,0.5042016806722689,0.7310924369747899,0.9495798319327731,0.865546218487395,74.81047812054342,0.030004905621503,90.24,73.76,61.6227576371688,6.004653606545072
24,4204202,Chapecó (SC),SC,muito_alto,1.0,0.7498739495798321,0.8399159663865547,0.5462184873949579,0.7815126050420168,0.8571428571428571,0.5882352941176471,85.19732323331436,0.072620192962728,91.15,75.69,46.66679749592794,14.91453578507369
25,3502804,Araçatuba (SP),SP,muito_alto,0.9716399506781741,0.7411764705882353,0.7563025210084033,0.7563025210084033,0.7394957983193278,0.7478991596638656,0.6890756302521008,78.33143451060343,0.039375834331664,95.63,73.84,39.62543223201615,12.492254802022746
26,3549904,São José dos Campos (SP),SP,muito_alto,0.9551993423756675,0.7391596638655463,0.8042016806722689,0.8823529411764706,0.8067226890756303,0.40336134453781514,0.8235294117647058,59.34260473363613,0.117579505329261,98.16,76.27,24.37400832647112,6.742662691843099
