CD_MUN,NM_MUN,CD_UF,NM_UF,setores_urbanos,populacao_urbana,domicilios_urbanos,area_urbana_km2,area_media_setor_urbano_km2,area_mediana_setor_urbano_km2,area_dp_setor_urbano_km2,densidade_demografica_urbana,densidade_domiciliar_urbana,pct_setores_urbanos_no_total_lido
3145877.0,Orizânia,31,Minas Gerais,5,3079,1387,2.2528576,0.45057152,0.316442,0.4446825669166793,1366.7086636989395,615.6625256740595,0.0014085895792542928
3145901.0,Ouro Branco,31,Minas Gerais,57,35351,15197,18.949346900000002,0.3324446824561404,0.181185,0.7234235610484601,1865.5524217565512,801.9801463447798,0.016057921203498936
3146008.0,Ouro Fino,31,Minas Gerais,61,25381,11752,17.871236,0.2929710819672131,0.1382537,0.5969556912348771,1420.215143485319,657.5930170694405,0.01718479286690237
3146107.0,Ouro Preto,31,Minas Gerais,151,67800,32057,73.10063459999999,0.48411016291390724,0.2385156,0.5960478811270221,927.488528259644,438.5324446964514,0.04253940529347964
3146206.0,Ouro Verde de Minas,31,Minas Gerais,6,3763,1627,2.2703823,0.37839705,0.44027325,0.173934794920473,1657.4301165050485,716.6193992967616,0.0016903074951051512
3146255.0,Padre Carvalho,31,Minas Gerais,6,3141,1356,2.7241106,0.4540184333333333,0.3946398,0.24403078612596127,1153.0368847725933,497.7771460527337,0.0016903074951051512
3146305.0,Padre Paraíso,31,Minas Gerais,16,12140,4885,5.8798651,0.36749156875,0.2093949,0.4137764455242641,2064.6732184382936,830.8013733172212,0.004507486653613737
3146404.0,Paineiras,31,Minas Gerais,7,3460,1801,2.9420252,0.42028931428571425,0.3232332,0.28383312716345277,1176.0606265371216,612.1633492466347,0.0019720254109560098
3146503.0,Pains,31,Minas Gerais,32,7164,3018,4.6387771,0.144961784375,0.07749165,0.17819857323384714,1544.3725459453526,650.6025046989215,0.009014973307227473
3146552.0,Pai Pedro,31,Minas Gerais,9,2072,1017,1.9177133,0.21307925555555554,0.1473151,0.15310283941113004,1080.453475501265,530.3191045293371,0.002535461242657727
3146602.0,Paiva,31,Minas Gerais,3,1173,605,0.6637212,0.2212404,0.2610649,0.08066680271840455,1767.3083216266107,911.527309960869,0.0008451537475525756
3146701.0,Palma,31,Minas Gerais,10,4763,2272,2.6655049,0.26655049000000003,0.2172803,0.2554057602394122,1786.9034868403355,852.3713462316276,0.0028171791585085855
