geocodigo_municipio,nome_municipio,uf,categoria,classe_abc
3523404,Itatiba,SP,demais municipios,A
4119152,Pinhais,PR,conurbado com uf,A
3518404,Guaratinguetá,SP,capital de imediata,A
1502103,Cametá,PA,capital de imediata,A
2613909,Serra Talhada,PE,capital de intermediaria,A
1503606,Itaituba,PA,capital de imediata,A
4307005,Erechim,RS,capital de imediata,A
3169901,Ubá,MG,capital de imediata,A
3134202,Ituiutaba,MG,capital de imediata,A
4208302,Itapema,SC,demais municipios,A
3557006,Votorantim,SP,demais municipios,A
4218707,Tubarão,SC,capital de imediata,A
5211503,Itumbiara,GO,capital de intermediaria,A
4126256,Sarandi,PR,demais municipios,A
3124104,Esmeraldas,MG,demais municipios,A
3144805,Nova Lima,MG,conurbado com uf,A
3104007,Araxá,MG,capital de imediata,A
3145208,Nova Serrana,MG,demais municipios,A
2612505,Santa Cruz do Capibaribe,PE,demais municipios,A
2601102,Araripina,PE,capital de imediata,A
1100023,Ariquemes,RO,capital de imediata,A
5211909,Jataí,GO,demais municipios,A
2911709,Guanambi,BA,capital de intermediaria,A
2919553,Luís Eduardo Magalhães,BA,demais municipios,A
4322400,Uruguaiana,RS,capital de intermediaria,A
3519709,Ibiúna,SP,demais municipios,A
3138203,Lavras,MG,capital de imediata,A
2802908,Itabaiana,SE,capital de intermediaria,A
2917508,Jacobina,BA,capital de imediata,A
3162500,São João del Rei,MG,capital de imediata,A
3525003,Jandira,SP,conurbado com uf,A
2100055,Açailândia,MA,capital de imediata,A
1501709,Bragança,PA,capital de imediata,A
2510808,Patos,PB,capital de intermediaria,A
4321600,Tramandaí,RS,capital de imediata,A
4100400,Almirante Tamandaré,PR,conurbado com uf,A
5217609,Planaltina,GO,demais municipios,A
3504008,Assis,SP,capital de imediata,A
2305506,Iguatu,CE,capital de intermediaria,A
3133808,Itaúna,MG,demais municipios,A
3113404,Caratinga,MG,capital de imediata,A
4103701,Cambé,PR,demais municipios,A
3528502,Mairiporã,SP,conurbado com uf,A
1504422,Marituba,PA,conurbado com uf,A
2301000,Aquiraz,CE,demais municipios,A
3534708,Ourinhos,SP,capital de imediata,A
3557105,Votuporanga,SP,capital de imediata,A
2933208,Vera Cruz,BA,demais municipios,A
3513504,Cubatão,SP,demais municipios,A
1100049,Cacoal,RO,capital de imediata,A
1100304,Vilhena,RO,capital de imediata,A
3119401,Coronel Fabriciano,MG,demais municipios,A
4104303,Campo Mourão,PR,capital de imediata,A
2103307,Codó,MA,capital de imediata,A
2930501,Serrinha,BA,capital de imediata,A
3170404,Unaí,MG,capital de imediata,A
3139409,Manhuaçu,MG,capital de imediata,A
4311403,Lajeado,RS,capital de imediata,A
3549102,São João da Boa Vista,SP,capital de imediata,A
4108403,Francisco Beltrão,PR,capital de imediata,A
