"Municípios, cluster, categoria, classe ABC e UF - BR classe A",,,,,,
Tabela em formato longo: cada linha corresponde a um município classificado no universo analisado.,,,,,,
,,,,,,
Cluster,Código do município,Município,UF,Categoria,Classe ABC,Domicílios CNEFE
2,3158953,Santana do Paraíso (MG),MG,demais municipios,A,23921
2,3162104,São Gotardo (MG),MG,demais municipios,A,21382
2,3168705,Timóteo (MG),MG,demais municipios,A,39141
2,2607208,Ipojuca (PE),PE,demais municipios,A,61799
2,4101507,Arapongas (PR),PR,demais municipios,A,61617
2,4103701,Cambé (PR),PR,demais municipios,A,53824
2,4104006,Campina Grande do Sul (PR),PR,demais municipios,A,24082
2,4104907,Castro (PR),PR,demais municipios,A,38071
2,4109609,Guaratuba (PR),PR,demais municipios,A,40799
2,4109807,Ibiporã (PR),PR,demais municipios,A,26725
2,4111803,Jacarezinho (PR),PR,demais municipios,A,20652
2,4114807,Marialva (PR),PR,demais municipios,A,22322
2,4115705,Matinhos (PR),PR,demais municipios,A,49052
2,4117503,Paiçandu (PR),PR,demais municipios,A,22308
2,4119954,Pontal do Paraná (PR),PR,demais municipios,A,41074
2,4122404,Rolândia (PR),PR,demais municipios,A,34697
2,4126256,Sarandi (PR),PR,demais municipios,A,57866
2,3300233,Armação dos Búzios (RJ),RJ,demais municipios,A,33175
2,3300407,Barra Mansa (RJ),RJ,demais municipios,A,89493
2,3300308,Barra do Piraí (RJ),RJ,demais municipios,A,50875
2,3302601,Mangaratiba (RJ),RJ,demais municipios,A,47949
2,3302700,Maricá (RJ),RJ,demais municipios,A,123032
2,3303302,Niterói (RJ),RJ,demais municipios,A,254466
2,3303807,Paraty (RJ),RJ,demais municipios,A,32355
2,3304524,Rio das Ostras (RJ),RJ,demais municipios,A,103446
2,3305505,Saquarema (RJ),RJ,demais municipios,A,74898
2,3305802,Teresópolis (RJ),RJ,demais municipios,A,102752
2,3306206,Vassouras (RJ),RJ,demais municipios,A,21276
2,4301057,Arroio do Sal (RS),RS,demais municipios,A,20807
2,4303905,Campo Bom (RS),RS,demais municipios,A,32350
2,4304630,Capão da Canoa (RS),RS,demais municipios,A,65680
2,4305454,Cidreira (RS),RS,demais municipios,A,25565
2,4307609,Estância Velha (RS),RS,demais municipios,A,23759
2,4309100,Gramado (RS),RS,demais municipios,A,28867
2,4309209,Gravataí (RS),RS,demais municipios,A,135659
2,4309308,Guaíba (RS),RS,demais municipios,A,46545
2,4310330,Imbé (RS),RS,demais municipios,A,35109
2,4313508,Osório (RS),RS,demais municipios,A,30443
2,4313904,Panambi (RS),RS,demais municipios,A,21541
2,4315602,Rio Grande (RS),RS,demais municipios,A,117218
2,4319901,Sapiranga (RS),RS,demais municipios,A,38901
2,4318705,São Leopoldo (RS),RS,demais municipios,A,112114
2,4323804,Xangri-lá (RS),RS,demais municipios,A,25345
2,4201307,Araquari (SC),SC,demais municipios,A,23304
2,4202008,Balneário Camboriú (SC),SC,demais municipios,A,97348
2,4212809,Balneário Piçarras (SC),SC,demais municipios,A,21501
2,4202107,Barra Velha (SC),SC,demais municipios,A,33482
2,4202453,Bombinhas (SC),SC,demais municipios,A,27341
2,4203204,Camboriú (SC),SC,demais municipios,A,47398
2,4205704,Garopaba (SC),SC,demais municipios,A,22075
2,4205902,Gaspar (SC),SC,demais municipios,A,34952
2,4206504,Guaramirim (SC),SC,demais municipios,A,21393
2,4207304,Imbituba (SC),SC,demais municipios,A,36270
2,4208302,Itapema (SC),SC,demais municipios,A,58248
2,4208450,Itapoá (SC),SC,demais municipios,A,30625
2,4207007,Içara (SC),SC,demais municipios,A,29089
2,4208807,Jaguaruna (SC),SC,demais municipios,A,28749
2,4208906,Jaraguá do Sul (SC),SC,demais municipios,A,87205
2,4209409,Laguna (SC),SC,demais municipios,A,31247
2,4211306,Navegantes (SC),SC,demais municipios,A,46534
2,4212502,Penha (SC),SC,demais municipios,A,23822
2,4216206,São Francisco do Sul (SC),SC,demais municipios,A,44014
2,4218004,Tijucas (SC),SC,demais municipios,A,25364
2,3501608,Americana (SP),SP,demais municipios,A,124546
2,3502903,Araçoiaba da Serra (SP),SP,demais municipios,A,21728
2,3503802,Artur Nogueira (SP),SP,demais municipios,A,25966
2,3505906,Batatais (SP),SP,demais municipios,A,30977
2,3506102,Bebedouro (SP),SP,demais municipios,A,39392
2,3506359,Bertioga (SP),SP,demais municipios,A,66712
2,3507001,Boituva (SP),SP,demais municipios,A,34679
2,3510401,Capivari (SP),SP,demais municipios,A,25165
2,3511508,Cerquilho (SP),SP,demais municipios,A,22587
2,3512803,Cosmópolis (SP),SP,demais municipios,A,29947
2,3513504,Cubatão (SP),SP,demais municipios,A,52621
2,3515186,Espírito Santo do Pinhal (SP),SP,demais municipios,A,20736
2,3516705,Garça (SP),SP,demais municipios,A,22042
2,3518701,Guarujá (SP),SP,demais municipios,A,180594
2,3517406,Guaíra (SP),SP,demais municipios,A,20377
