"Municípios, cluster, categoria, classe ABC e UF - SC todos",,,,,,
Tabela em formato longo: cada linha corresponde a um município classificado no universo analisado.,,,,,,
,,,,,,
Cluster,Código do município,Município,UF,Categoria,Classe ABC,Domicílios CNEFE
3,4202859,Braço do Trombudo (SC),SC,demais municipios,C,2107
3,4203105,Caibi (SC),SC,demais municipios,C,3826
3,4203600,Campos Novos (SC),SC,demais municipios,B,19939
3,4203907,Capinzal (SC),SC,demais municipios,B,12279
3,4204004,Catanduvas (SC),SC,demais municipios,C,5198
3,4204103,Caxambu do Sul (SC),SC,demais municipios,C,3023
3,4204350,Cordilheira Alta (SC),SC,demais municipios,C,3025
3,4204400,Coronel Freitas (SC),SC,demais municipios,C,6400
3,4204707,Cunha Porã (SC),SC,demais municipios,C,6675
3,4204756,Cunhataí (SC),SC,demais municipios,C,1276
3,4204905,Descanso (SC),SC,demais municipios,C,5258
3,4205001,Dionísio Cerqueira (SC),SC,demais municipios,C,9014
3,4205100,Dona Emma (SC),SC,demais municipios,C,2694
3,4205209,Erval Velho (SC),SC,demais municipios,C,3323
3,4205308,Faxinal dos Guedes (SC),SC,demais municipios,C,5877
3,4205357,Flor do Sertão (SC),SC,demais municipios,C,1269
3,4205431,Formosa do Sul (SC),SC,demais municipios,C,1630
3,4205506,Fraiburgo (SC),SC,demais municipios,B,16840
3,4205605,Galvão (SC),SC,demais municipios,C,1671
3,4206405,Guaraciaba (SC),SC,demais municipios,C,6496
3,4206603,Guarujá do Sul (SC),SC,demais municipios,C,3010
3,4206652,Guatambú (SC),SC,demais municipios,C,4845
3,4206702,Herval d'Oeste (SC),SC,demais municipios,C,10640
3,4206751,Ibiam (SC),SC,demais municipios,C,1220
3,4206801,Ibicaré (SC),SC,demais municipios,C,2534
3,4207577,Iomerê (SC),SC,demais municipios,C,2051
3,4207601,Ipira (SC),SC,demais municipios,C,3197
3,4207650,Iporã do Oeste (SC),SC,demais municipios,C,5539
3,4207700,Ipumirim (SC),SC,demais municipios,C,4287
3,4207759,Iraceminha (SC),SC,demais municipios,C,2794
3,4208401,Itapiranga (SC),SC,demais municipios,C,8703
3,4208005,Itá (SC),SC,demais municipios,C,4340
3,4208609,Jaborá (SC),SC,demais municipios,C,2611
3,4208955,Jardinópolis (SC),SC,demais municipios,C,1063
3,4209201,Lacerdópolis (SC),SC,demais municipios,C,1349
3,4209458,Lajeado Grande (SC),SC,demais municipios,C,1017
3,4209508,Laurentino (SC),SC,demais municipios,C,4137
3,4209854,Lindóia do Sul (SC),SC,demais municipios,C,2678
3,4210035,Luzerna (SC),SC,demais municipios,C,3414
3,4210555,Marema (SC),SC,demais municipios,C,1293
3,4210902,Modelo (SC),SC,demais municipios,C,2369
3,4211009,Mondaí (SC),SC,demais municipios,C,6009
3,4211405,Nova Erechim (SC),SC,demais municipios,C,2706
3,4211454,Nova Itaberaba (SC),SC,demais municipios,C,2797
3,4211751,Otacílio Costa (SC),SC,demais municipios,C,9032
3,4211801,Ouro (SC),SC,demais municipios,C,4345
3,4211876,Paial (SC),SC,demais municipios,C,1354
3,4212007,Palma Sola (SC),SC,demais municipios,C,4554
3,4212056,Palmeira (SC),SC,demais municipios,C,2222
3,4212106,Palmitos (SC),SC,demais municipios,C,9995
3,4212270,Passos Maia (SC),SC,demais municipios,C,2462
3,4212601,Peritiba (SC),SC,demais municipios,C,2001
3,4212908,Pinhalzinho (SC),SC,demais municipios,C,11022
3,4213005,Pinheiro Preto (SC),SC,demais municipios,C,1735
3,4213104,Piratuba (SC),SC,demais municipios,C,4751
3,4213153,Planalto Alegre (SC),SC,demais municipios,C,1906
3,4213401,Ponte Serrada (SC),SC,demais municipios,C,5526
3,4213609,Porto União (SC),SC,demais municipios,B,16820
3,4213708,Pouso Redondo (SC),SC,demais municipios,C,9223
3,4213906,Presidente Castello Branco (SC),SC,demais municipios,C,1110
3,4214003,Presidente Getúlio (SC),SC,demais municipios,C,10567
3,4214151,Princesa (SC),SC,demais municipios,C,1809
3,4214201,Quilombo (SC),SC,demais municipios,C,6125
3,4215075,Riqueza (SC),SC,demais municipios,C,3181
3,4215307,Salete (SC),SC,demais municipios,C,4545
3,4215406,Salto Veloso (SC),SC,demais municipios,C,2546
3,4215695,Santiago do Sul (SC),SC,demais municipios,C,984
3,4217303,Saudades (SC),SC,demais municipios,C,5684
3,4217501,Seara (SC),SC,demais municipios,C,10252
3,4217550,Serra Alta (SC),SC,demais municipios,C,1947
3,4216008,São Carlos (SC),SC,demais municipios,C,6037
3,4216107,São Domingos (SC),SC,demais municipios,C,5393
3,4216701,São José do Cedro (SC),SC,demais municipios,C,8165
3,4216255,São João do Oeste (SC),SC,demais municipios,C,3953
3,4217808,Taió (SC),SC,demais municipios,C,11032
3,4217907,Tangará (SC),SC,demais municipios,C,4976
3,4218509,Treze Tílias (SC),SC,demais municipios,C,4716
3,4218608,Trombudo Central (SC),SC,demais municipios,C,3961
3,4218756,Tunápolis (SC),SC,demais municipios,C,2863
3,4219176,Vargem Bonita (SC),SC,demais municipios,C,2581
3,4219101,Vargeão (SC),SC,demais municipios,C,2019
3,4219606,Xavantina (SC),SC,demais municipios,C,2476
